date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:09	2060/2060	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d93ea0db88a69af81b59bc68270710b%22	https://www.leiwalakom.com/robots.txt		(from )
10:58:10	60457/60457	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2006:00:07%20GMT	https://www.leiwalakom.com/	C:/Meus%20Sites/leiwalakom/www.leiwalakom.com/index.html	(from )
10:58:10	159964/159964	---MCZ	200	added ('OK')	text/css	etag:W/%22022a14455b2681e14f9717e27c41f424%22	https://cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/css/leiwalakom.webflow.shared.022a14455.min.css	C:/Meus%20Sites/leiwalakom/cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/css/leiwalakom.webflow.shared.022a14455.min.css	(from https://www.leiwalakom.com/)
10:58:10	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/leiwalakom/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.leiwalakom.com/)
10:58:10	17534/17534	---M--	200	added ('OK')	image/jpeg	etag:%2272f3cf63b84305300136e686c1a3ef39%22	https://cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/61dbdeb4dccd18f809b5b3e4_Icon-05%20copy.jpg	C:/Meus%20Sites/leiwalakom/cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/61dbdeb4dccd18f809b5b3e4_Icon-05%20copy.jpg	(from https://www.leiwalakom.com/)
10:58:11	28414/28414	---M--	200	added ('OK')	image/jpeg	etag:%223cccac5f0304516aee3780307a7edfe2%22	https://cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/61dbde696fa398162e19f3df_Icon-05%20copy.jpg	C:/Meus%20Sites/leiwalakom/cdn.prod.website-files.com/61c85ce6b8161ffd30681aa9/61dbde696fa398162e19f3df_Icon-05%20copy.jpg	(from https://www.leiwalakom.com/)
10:58:11	298431/298431	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2010%20Jul%202025%2013:58:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/leiwalakom/connect.facebook.net/en_US/fbevents.js	(from https://www.leiwalakom.com/)
10:58:12	9461/9461	---M-Z	200	added ('OK')	application/javascript	etag:W/%2224f5-UwbGQu810u+oOZfeoeQFlS8Ufrc%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-scrolldisable@1/scrolldisable.js	C:/Meus%20Sites/leiwalakom/cdn.jsdelivr.net/npm/@finsweet/attributes-scrolldisable@1/scrolldisable.js	(from https://www.leiwalakom.com/)
10:58:12	33875/33875	---MCZ	200	added ('OK')	text/css	etag:W/%22a1aeec768d6108bf625dcb56212430fc%22	https://cdn.plyr.io/3.7.2/plyr.css	C:/Meus%20Sites/leiwalakom/cdn.plyr.io/3.7.2/plyr.css	(from https://www.leiwalakom.com/)
10:58:12	53213/53213	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Jul%202025%2012:39:35%20GMT	https://www.leiwalakom.com/about	C:/Meus%20Sites/leiwalakom/www.leiwalakom.com/about.html	(from https://www.leiwalakom.com/)
